        2                   4                   identity            True                True                [('0.333', '0.258'), ('0.299', '0.294'), ('0.308', '0.182'), ('0.318', '0.230'), ('0.309', '0.242'), ('0.332', '0.330'), ('0.322', '0.130'), ('0.311', '0.300'), ('0.345', '0.194'), ('0.318', '0.163')]('0.3195', '0.2323')
LogReg              ngram_notes         6                   2                   identity            True                True                [('0.285', '0.359'), ('0.303', '0.292'), ('0.317', '0.185'), ('0.294', '0.372'), ('0.306', '0.229'), ('0.315', '0.320'), ('0.307', '0.157'), ('0.287', '0.316'), ('0.310', '0.147'), ('0.296', '0.204')]('0.3020', '0.2581')
LogReg              ngram_notes         6                   3                   identity            True                True                [('0.315', '0.317'), ('0.307', '0.298'), ('0.314', '0.189'), ('0.284', '0.224'), ('0.324', '0.221'), ('0.310', '0.287'), ('0.330', '0.188'), ('0.321', '0.260'), ('0.326', '0.138'), ('0.331', '0.152')]('0.3162', '0.2274')
LogReg              ngram_notes         6                   4                   identity            True                True                [('0.312', '0.290'), ('0.295', '0.275'), ('0.308', '0.182'), ('0.306', '0.162'), ('0.327', '0.227'), ('0.318', '0.253'), ('0.328', '0.169'), ('0.313', '0.314'), ('0.314', '0.145'), ('0.328', '0.140')]('0.3149', '0.2157')
LogReg              ngram_notes         6                   5                   identity            True                True                [('0.328', '0.344'), ('0.295', '0.280'), ('0.310', '0.174'), ('0.296', '0.236'), ('0.332', '0.250'), ('0.329', '0.193'), ('0.330', '0.162'), ('0.323', '0.328'), ('0.324', '0.169'), ('0.334', '0.150')]('0.3201', '0.2286')
LogReg              ngram_notes         6                   6                   identity            True                True                [('0.325', '0.333'), ('0.304', '0.286'), ('0.315', '0.179'), ('0.326', '0.171'), ('0.328', '0.258'), ('0.341', '0.224'), ('0.338', '0.155'), ('0.313', '0.281'), ('0.341', '0.143'), ('0.326', '0.081')]('0.3257', '0.2111')
LogReg              ngram_notes         6                   7                   identity            True                True                [('0.315', '0.390'), ('0.349', '0.302'), ('0.341', '0.293'), ('0.338', '0.191'), ('0.317', '0.317'), ('0.318', '0.195'), ('0.309', '0.250'), ('0.317', '0.311'), ('0.333', '0.113'), ('0.332', '0.059')]('0.3269', '0.2421')
LogReg              ngram_notes         6                   8                   identity            True                True                [('0.312', '0.379'), ('0.341', '0.298'), ('0.340', '0.287'), ('0.318', '0.227'), ('0.320', '0.362'), ('0.320', '0.190'), ('0.321', '0.277'), ('0.329', '0.293'), ('0.319', '0.120'), ('0.339', '0.032')]('0.3259', '0.2465')
LogReg              ngram_notes         7                   1                   identity            True                True                [('0.290', '0.354'), ('0.305', '0.287'), ('0.320', '0.181'), ('0.300', '0.375'), ('0.314', '0.208'), ('0.289', '0.350'), ('0.325', '0.151'), ('0.295', '0.329'), ('0.285', '0.380'), ('0.302', '0.231')]('0.3025', '0.2846')
LogReg              ngram_notes         7                   2                   identity            True                True                [('0.298', '0.297'), ('0.303', '0.292'), ('0.317', '0.185'), ('0.292', '0.269'), ('0.307', '0.229'), ('0.313', '0.320'), ('0.316', '0.157'), ('0.290', '0.316'), ('0.302', '0.176'), ('0.297', '0.204')]('0.3035', '0.2445')
LogReg              ngram_notes         7                   3                   identity            True                True                [('0.303', '0.302'), ('0.315', '0.308'), ('0.315', '0.189'), ('0.280', '0.224'), ('0.330', '0.221'), ('0.299', '0.255'), ('0.334', '0.175'), ('0.324', '0.288'), ('0.311', '0.108'), ('0.334', '0.152')]('0.3145', '0.2222')
LogReg              ngram_notes         7                   4                   identity            True                True                [('0.312', '0.274'), ('0.299', '0.294'), ('0.308', '0.182'), ('0.297', '0.149'), ('0.341', '0.212'), ('0.315', '0.264'), ('0.340', '0.169'), ('0.326', '0.314'), ('0.316', '0.145'), ('0.328', '0.140')]('0.3182', '0.2143')
LogReg              ngram_notes         7                   5                   identity            True                True                [('0.323', '0.295'), ('0.304', '0.280'), ('0.310', '0.174'), ('0.294', '0.222'), ('0.334', '0.250'), ('0.310', '0.227'), ('0.331', '0.162'), ('0.335', '0.299'), ('0.319', '0.102'), ('0.347', '0.150')]('0.3207', '0.2161')
LogReg              ngram_notes         7                   6                   identity            True                True                [('0.325', '0.300'), ('0.306', '0.276'), ('0.315', '0.179'), ('0.319', '0.171'), ('0.331', '0.258'), ('0.327', '0.224'), ('0.343', '0.155'), ('0.329', '0.297'), ('0.342', '0.107'), ('0.346', '0.081')]('0.3283', '0.2048')
LogReg              ngram_notes         7                   7                   identity            True                True                [('0.313', '0.356'), ('0.337', '0.292'), ('0.353', '0.268'), ('0.341', '0.221'), ('0.305', '0.317'), ('0.318', '0.195'), ('0.309', '0.250'), ('0.317', '0.246'), ('0.330', '0.113'), ('0.324', '0.059')]('0.3247', '0.2317')
LogReg              ngram_notes         7                   8                   identity            True                True                [('0.312', '0.379'), ('0.356', '0.319'), ('0.338', '0.287'), ('0.318', '0.227'), ('0.313', '0.379'), ('0.321', '0.190'), ('0.329', '0.277'), ('0.330', '0.276'), ('0.321', '0.120'), ('0.339', '0.032')]('0.3277', '0.2486')
LogReg              ngram_notes         8                   1                   identity            True                True                [('0.317', '0.462'), ('0.309', '0.287'), ('0.324', '0.181'), ('0.297', '0.375'), ('0.324', '0.208'), ('0.300', '0.310'), ('0.334', '0.151'), ('0.310', '0.329'), ('0.299', '0.380'), ('0.306', '0.231')]('0.3120', '0.2914')
LogReg              ngram_notes         8                   2                   identity            True                True                [('0.300', '0.266'), ('0.304', '0.292'), ('0.317', '0.185'), ('0.292', '0.256'), ('0.318', '0.214'), ('0.325', '0.278'), ('0.323', '0.157'), ('0.294', '0.316'), ('0.315', '0.206'), ('0.301', '0.204')]('0.3089', '0.2374')
LogReg              ngram_notes         8                   3                   identity            True                True                [('0.315', '0.302'), ('0.313', '0.308'), ('0.318', '0.189'), ('0.283', '0.237'), ('0.336', '0.235'), ('0.295', '0.255'), ('0.333', '0.175'), ('0.324', '0.274'), ('0.311', '0.092'), ('0.335', '0.130')]('0.3163', '0.2197')
LogReg              ngram_notes         8                   4                   identity            True                True                [('0.311', '0.274'), ('0.302', '0.284'), ('0.309', '0.182'), ('0.303', '0.162'), ('0.335', '0.212'), ('0.318', '0.242'), ('0.339', '0.169'), ('0.319', '0.300'), ('0.325', '0.194'), ('0.337', '0.140')]('0.3198', '0.2159')
LogReg              ngram_notes         8                   5                   identity            True                True                [('0.320', '0.295'), ('0.298', '0.280'), ('0.315', '0.174'), ('0.302', '0.236'), ('0.343', '0.219'), ('0.313', '0.239'), ('0.336', '0.149'), ('0.337', '0.284'), ('0.330', '0.102'), ('0.338', '0.150')]('0.3232', '0.2128')
LogReg              ngram_notes         8                   6                   identity            True                True                [('0.325', '0.300'), ('0.307', '0.286'), ('0.318', '0.179'), ('0.318', '0.186'), ('0.338', '0.258'), ('0.336', '0.235'), ('0.356', '0.155'), ('0.335', '0.328'), ('0.342', '0.107'), ('0.352', '0.081')]('0.3327', '0.2115')
LogReg              ngram_notes         8                   7                   identity            True                True                [('0.313', '0.356'), ('0.333', '0.281'), ('0.351', '0.268'), ('0.339', '0.235'), ('0.307', '0.267'), ('0.322', '0.195'), ('0.316', '0.250'), ('0.319', '0.213'), ('0.326', '0.113'), ('0.328', '0.059')]('0.3254', '0.2237')
LogReg              ngram_notes         8                   8                   identity            True                True                [('0.313', '0.379'), ('0.354', '0.309'), ('0.345', '0.300'), ('0.319', '0.227'), ('0.306', '0.362'), ('0.325', '0.190'), ('0.328', '0.277'), ('0.336', '0.276'), ('0.324', '0.120'), ('0.344', '0.032')]('0.3294', '0.2472')


SORTED:LogReg_identity
LogReg              ngram_notes         6                   8                   identity            False               False               [('0.504', '0.259'), ('0.527', '0.202'), ('0.499', '0.200'), ('0.531', '0.152'), ('0.535', '0.155'), ('0.512', '0.203'), ('0.507', '0.200'), ('0.518', '0.259'), ('0.528', '0.200'), ('0.520', '0.129')]('0.5181', '0.1959')
LogReg              ngram_notes         7                   6                   identity            False               True                [('0.325', '0.300'), ('0.306', '0.276'), ('0.315', '0.179'), ('0.321', '0.171'), ('0.331', '0.258'), ('0.327', '0.224'), ('0.343', '0.155'), ('0.329', '0.297'), ('0.342', '0.107'), ('0.346', '0.081')]('0.3285', '0.2048')
LogReg              ngram_notes         7                   6                   identity            True                True                [('0.325', '0.300'), ('0.306', '0.276'), ('0.315', '0.179'), ('0.319', '0.171'), ('0.331', '0.258'), ('0.327', '0.224'), ('0.343', '0.155'), ('0.329', '0.297'), ('0.342', '0.107'), ('0.346', '0.081')]('0.3283', '0.2048')
LogReg              ngram_notes         5                   8                   identity            False               False               [('0.473', '0.241'), ('0.486', '0.234'), ('0.479', '0.237'), ('0.529', '0.136'), ('0.508', '0.207'), ('0.475', '0.266'), ('0.490', '0.185'), ('0.482', '0.328'), ('0.514', '0.160'), ('0.503', '0.065')]('0.4939', '0.2059')
LogReg              ngram_notes         8                   8                   identity            False               False               [('0.583', '0.224'), ('0.609', '0.170'), ('0.576', '0.287'), ('0.579', '0.242'), ('0.601', '0.190'), ('0.584', '0.190'), ('0.585', '0.123'), ('0.613', '0.276'), ('0.586', '0.220'), ('0.571', '0.161')]('0.5887', '0.2083')
LogReg              ngram_notes         6                   6                   identity            False               True                [('0.325', '0.333'), ('0.304', '0.286'), ('0.315', '0.179'), ('0.326', '0.171'), ('0.328', '0.258'), ('0.341', '0.224'), ('0.338', '0.155'), ('0.313', '0.281'), ('0.339', '0.143'), ('0.326', '0.081')]('0.3255', '0.2111')
LogReg              ngram_notes         6                   6                   identity            True                True                [('0.325', '0.333'), ('0.304', '0.286'), ('0.315', '0.179'), ('0.326', '0.171'), ('0.328', '0.258'), ('0.341', '0.224'), ('0.338', '0.155'), ('0.313', '0.281'), ('0.341', '0.143'), ('0.326', '0.081')]('0.3257', '0.2111')
LogReg              ngram_notes         8                   6                   identity            True                True                [('0.325', '0.300'), ('0.307', '0.286'), ('0.318', '0.179'), ('0.318', '0.186'), ('0.338', '0.258'), ('0.336', '0.235'), ('0.356', '0.155'), ('0.335', '0.328'), ('0.342', '0.107'), ('0.352', '0.081')]('0.3327', '0.2115')
LogReg              ngram_notes         6                   6                   identity            False               False               [('0.437', '0.283'), ('0.462', '0.265'), ('0.478', '0.214'), ('0.465', '0.214'), ('0.467', '0.210'), ('0.470', '0.129'), ('0.451', '0.141'), ('0.467', '0.328'), ('0.472', '0.143'), ('0.475', '0.189')]('0.4644', '0.2116')
