RATIOS-
[0.18965060878771836, 0.1864081524616199, 0.18680518793012177, 0.18667284277395446, 0.18647432503970354]

MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 ngram_notes         4                   4                   identity            False               False               [('0.246', '0.255'), ('0.263', '0.186'), ('0.248', '0.258'), ('0.246', '0.262'), ('0.254', '0.245')]('0.2514', '0.2412')
MLP                 ngram_notes         4                   5                   identity            False               False               [('0.246', '0.255'), ('0.263', '0.189'), ('0.251', '0.253'), ('0.246', '0.262'), ('0.253', '0.250')]('0.2518', '0.2418')
MLP                 ngram_notes         4                   5                   identity            False               False               [('0.246', '0.255'), ('0.263', '0.189'), ('0.251', '0.253'), ('0.246', '0.262'), ('0.253', '0.250')]('0.2518', '0.2418')
MLP                 ngram_notes         4                   5                   identity            False               False               [('0.246', '0.255'), ('0.263', '0.189'), ('0.251', '0.253'), ('0.246', '0.262'), ('0.253', '0.250')]('0.2518', '0.2418')
MLP                 ngram_notes         4                   6                   identity            False               False               [('0.246', '0.257'), ('0.267', '0.195'), ('0.255', '0.247'), ('0.254', '0.250'), ('0.253', '0.253')]('0.2550', '0.2404')
MLP                 ngram_notes         4                   6                   identity            False               False               [('0.246', '0.257'), ('0.267', '0.195'), ('0.255', '0.247'), ('0.254', '0.250'), ('0.253', '0.253')]('0.2550', '0.2404')
MLP                 ngram_notes         4                   6                   identity            False               False               [('0.246', '0.257'), ('0.267', '0.195'), ('0.255', '0.247'), ('0.254', '0.250'), ('0.253', '0.253')]('0.2550', '0.2404')
MLP                 ngram_notes         4                   7                   identity            False               False               [('0.253', '0.255'), ('0.268', '0.197'), ('0.257', '0.251'), ('0.259', '0.257'), ('0.258', '0.249')]('0.2590', '0.2418')
MLP                 ngram_notes         4                   7                   identity            False               False               [('0.253', '0.255'), ('0.268', '0.197'), ('0.257', '0.251'), ('0.259', '0.257'), ('0.258', '0.249')]('0.2590', '0.2418')
MLP                 ngram_notes         4                   7                   identity            False               False               [('0.253', '0.255'), ('0.268', '0.197'), ('0.257', '0.251'), ('0.259', '0.257'), ('0.258', '0.249')]('0.2590', '0.2418')
